Customer_No,Campaign_ID,Treatment,Response,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20
2225,1,1,0,0.06,0.31,0.06,0.39,0.38,0.88,0,0.71,0.63,0,0.70,0.28,0.43,0.33,0.44,0.86,0.34,0.08,0.28,0
2226,1,1,0,0.58,0.48,0.66,0.51,0.49,0.02,0,0.51,0.05,0,0.71,0.60,0.49,0.83,0.33,0.60,0.01,0.69,0.53,1
2227,1,0,1,0.61,0.01,0.84,0.23,0.81,0.83,1,0.75,0.30,0,0.60,0.83,0.75,0.78,0.50,0.89,0.59,0.78,0.84,0
2228,1,1,0,0.66,0.07,0.61,0.28,0.51,0.39,0,0.71,0.37,0,0.71,0.96,0.33,0.72,0.24,1.00,0.72,0.54,0.01,0
2229,1,1,0,0.56,0.64,0.68,0.64,0.44,0.53,1,0.25,0.49,1,0.33,0.96,0.00,0.89,0.47,0.41,0.61,0.09,0.13,0
2230,1,1,0,0.33,0.20,0.15,0.50,0.33,0.16,0,0.58,0.66,0,0.06,0.98,0.17,0.03,0.08,0.83,0.40,0.63,0.50,0
2231,1,1,0,0.78,0.80,0.45,0.36,0.59,0.77,1,0.87,0.47,0,0.29,0.35,0.79,0.86,0.65,0.17,0.60,0.78,0.28,1
2232,1,1,0,0.96,0.72,0.16,0.35,0.38,0.41,0,0.60,0.54,0,0.35,0.34,0.75,0.86,0.25,0.06,0.86,0.20,0.37,1
2233,1,1,0,0.62,0.89,0.97,0.80,0.39,0.80,1,0.11,0.49,0,0.71,0.80,0.98,0.14,0.09,0.23,0.14,0.68,0.44,0
2234,1,1,0,0.29,0.94,0.35,0.21,0.47,0.79,1,0.23,0.34,1,0.84,0.49,0.12,0.33,0.08,0.97,0.26,0.34,0.58,0
2235,1,1,0,0.07,0.07,0.45,0.25,0.38,0.27,0,0.40,0.34,0,0.02,0.32,0.11,0.28,0.32,0.70,0.81,0.29,0.42,0
2236,1,1,0,0.62,0.58,0.84,0.52,0.70,0.08,1,0.53,0.24,0,0.63,0.54,0.88,0.40,0.24,0.63,0.74,0.52,0.11,1
2237,1,1,0,0.73,0.18,0.85,0.75,0.57,0.52,0,0.22,0.27,1,0.66,0.50,0.74,0.39,0.44,0.43,0.60,0.07,0.04,0
2238,1,1,0,0.15,0.39,0.69,0.13,0.46,0.55,1,0.39,0.24,1,0.75,0.33,0.84,0.83,0.50,0.55,0.63,0.53,0.81,0
2239,1,1,0,0.87,0.42,0.14,0.21,0.62,0.65,1,0.82,0.66,1,0.72,0.64,0.47,0.39,0.24,0.86,0.06,0.81,0.73,1
2240,1,0,0,0.43,0.74,0.99,0.53,0.30,0.89,0,0.77,0.24,1,0.42,0.16,0.05,0.11,0.22,0.82,0.07,0.80,1.00,0
2241,1,1,0,0.66,0.85,0.44,0.20,0.83,0.96,1,0.73,0.77,0,0.67,0.07,0.13,0.46,0.39,0.71,0.20,0.61,0.23,1
2242,1,1,0,0.45,0.94,0.58,0.56,0.47,0.46,1,0.22,0.16,0,0.62,0.49,0.24,0.76,0.35,0.10,0.76,0.83,0.22,1
2243,1,0,1,0.27,0.57,0.84,0.62,0.63,0.31,1,0.77,0.35,0,0.14,0.91,0.55,0.73,0.27,0.31,0.48,0.94,0.06,1
2244,1,0,0,0.19,0.56,0.07,0.45,0.42,0.82,1,0.35,0.53,0,0.21,0.07,0.64,0.85,0.44,0.17,0.49,0.03,0.90,1
2245,1,0,1,0.89,0.66,0.55,0.49,0.71,0.86,1,0.14,0.38,1,0.38,0.74,0.64,0.46,0.36,0.86,0.66,0.84,0.95,0
2246,1,1,1,0.78,0.48,0.90,0.43,0.40,0.75,1,0.43,0.44,1,0.80,0.15,0.69,0.22,0.36,0.96,0.71,0.55,0.15,0
2247,1,1,0,0.02,0.85,0.33,0.17,0.85,0.45,1,0.97,0.56,0,0.51,0.32,0.08,0.42,0.40,0.53,0.71,0.95,0.81,1
2248,1,1,0,0.94,0.91,0.90,0.68,0.48,0.51,1,0.12,0.40,1,0.29,0.89,0.31,0.66,0.45,0.08,0.72,0.60,0.43,1
2249,1,1,0,0.79,0.67,0.72,0.56,0.52,0.42,0,0.61,0.27,0,0.38,0.87,0.82,0.88,0.52,0.19,0.78,0.50,0.53,1
2250,1,1,1,0.72,0.54,0.69,0.24,0.73,0.26,0,0.77,0.78,1,0.49,0.40,0.72,0.93,0.17,0.64,0.97,0.49,0.44,1
2251,1,1,0,0.60,0.72,0.02,0.39,0.58,0.29,0,0.16,0.02,1,0.76,0.07,0.31,0.53,0.49,0.37,0.39,0.59,0.28,0
2252,1,1,0,0.53,0.06,0.48,0.08,0.55,0.47,1,0.72,0.53,0,0.11,0.35,0.15,0.16,0.27,0.51,0.31,0.61,0.32,1
2253,1,1,0,0.56,0.90,0.79,0.17,0.82,0.83,0,0.65,0.49,1,0.85,0.45,0.10,0.37,0.52,0.69,0.71,0.09,0.89,0
2254,1,1,0,0.25,0.74,0.05,0.13,0.51,0.64,0,0.69,0.13,1,0.16,0.31,0.33,0.69,0.21,0.33,0.87,0.38,0.86,0
2255,1,1,0,0.54,0.03,0.03,0.02,0.62,0.89,1,0.12,0.36,1,0.56,0.36,0.04,0.29,0.44,0.77,0.59,0.82,0.84,1
2256,1,1,0,0.46,0.33,0.62,0.47,0.63,0.17,0,0.32,0.13,0,0.97,0.91,0.07,0.82,0.83,0.52,0.71,0.95,0.64,0
2257,1,1,1,0.09,0.29,0.90,0.83,0.30,0.06,1,0.59,0.50,0,0.12,0.55,0.37,0.49,0.44,0.06,0.42,0.30,0.00,0
2258,1,1,0,0.69,0.97,0.22,0.34,0.69,0.05,1,0.76,0.54,0,0.10,0.85,0.68,0.81,0.69,0.73,0.97,0.23,0.56,0
2259,1,1,1,0.85,0.57,0.44,0.53,0.36,0.79,0,0.83,0.18,1,0.73,0.21,0.69,0.58,0.31,0.71,0.44,0.80,0.57,0
2260,1,0,1,0.08,0.08,0.33,0.22,0.81,0.25,0,0.30,0.10,1,0.94,0.78,0.11,0.40,0.28,0.42,0.77,0.89,0.41,1
2261,1,0,0,0.58,0.63,0.81,0.34,0.38,0.11,1,0.02,0.26,1,0.48,0.53,0.95,0.63,0.51,0.36,0.78,0.75,0.95,1
2262,1,1,0,0.29,0.00,0.43,0.14,0.72,0.28,0,0.32,0.57,1,0.53,0.22,0.13,0.02,0.15,0.03,0.73,0.10,0.53,1
2263,1,1,0,0.29,0.16,0.30,0.16,0.87,0.69,1,0.41,0.20,1,0.10,0.40,0.74,0.15,0.13,0.25,0.54,0.17,0.07,0
2264,1,1,0,0.95,0.81,0.93,0.76,0.28,0.60,0,0.94,0.79,0,0.49,0.11,0.20,0.20,0.30,0.65,0.29,0.68,0.75,1
2265,1,0,0,0.30,0.08,0.27,0.26,0.80,0.18,0,0.50,0.09,0,0.53,0.24,0.07,0.38,0.24,0.12,0.17,0.71,0.32,1
2266,1,1,1,0.33,0.84,0.29,0.31,0.63,0.43,1,0.12,0.35,1,0.38,0.87,0.41,0.36,0.33,0.98,0.89,0.29,0.97,0
2267,1,1,0,0.71,0.27,0.64,0.31,0.79,0.25,1,0.48,0.28,0,0.88,0.44,0.68,0.95,0.33,0.27,0.68,0.58,0.37,0
2268,1,0,0,0.73,0.51,0.39,0.35,0.73,0.00,1,0.01,0.17,0,0.06,0.13,0.33,0.00,0.03,0.61,1.00,0.26,0.06,0
2269,1,1,0,0.54,0.35,0.44,0.37,0.58,0.41,0,0.47,0.57,1,0.51,0.76,0.42,0.35,0.56,0.64,0.03,0.64,0.94,1
2270,1,1,0,0.09,0.13,0.44,0.25,0.63,0.67,0,0.18,0.19,1,0.72,0.77,0.16,0.84,0.14,0.71,0.37,0.63,0.47,1
2271,1,1,0,0.40,0.13,0.70,0.57,0.68,0.79,1,0.24,0.41,0,0.84,0.40,0.13,0.59,0.27,0.88,0.21,0.99,0.79,1
2272,1,1,0,0.11,0.61,0.78,0.38,0.32,0.05,0,0.35,0.23,1,0.12,0.63,0.46,0.28,0.36,0.63,0.65,0.45,0.99,0
2273,1,1,1,0.87,0.81,0.30,0.48,0.50,0.74,1,0.94,0.61,0,0.24,0.50,0.04,0.09,0.01,0.61,0.67,0.39,0.89,1
2274,1,1,0,0.11,0.63,0.82,0.50,0.57,0.11,1,0.41,0.36,1,0.70,0.96,0.55,0.73,0.25,0.19,0.38,0.60,0.95,1
2275,1,1,0,0.49,0.72,0.32,0.12,0.80,0.22,1,0.96,0.19,0,0.43,0.06,0.88,0.62,0.52,0.39,1.00,0.84,0.09,1
2276,1,1,0,0.45,0.13,0.90,0.43,0.69,0.91,0,0.68,0.40,1,0.50,0.33,0.00,0.78,0.37,0.37,0.24,0.06,0.96,0
2277,1,1,0,0.47,0.10,0.72,0.72,0.20,0.30,1,0.56,0.26,0,0.81,0.40,0.49,0.64,0.37,0.82,0.55,0.28,0.01,0
2278,1,1,0,0.50,0.10,0.07,0.26,0.61,0.39,1,0.84,0.75,0,0.65,0.92,0.63,0.85,0.46,0.44,0.69,0.87,0.58,0
2279,1,1,0,0.78,0.41,0.61,0.64,0.51,0.89,1,0.31,0.39,1,0.17,0.10,0.59,0.72,0.41,0.46,0.27,0.80,0.80,0
2280,1,1,0,0.60,0.47,0.02,0.38,0.80,0.81,1,0.87,0.83,1,0.14,0.10,0.33,0.47,0.26,0.09,0.11,0.76,0.36,0
2281,1,1,0,0.38,0.06,0.09,0.29,0.80,0.67,0,0.24,0.47,0,0.44,0.02,0.46,0.15,0.48,0.72,0.76,0.89,0.49,1
2282,1,0,0,0.16,0.61,0.76,0.41,0.32,0.42,0,0.07,0.17,1,0.44,0.26,0.74,0.93,0.49,0.54,0.62,0.11,0.42,1
2283,1,1,0,0.98,0.83,0.45,0.16,0.80,0.42,0,0.08,0.05,0,0.36,0.33,0.11,0.50,0.09,0.68,0.24,0.47,0.86,1
2284,1,1,0,0.23,0.22,0.23,0.07,0.62,0.01,1,0.12,0.32,1,0.09,0.65,0.04,0.08,0.31,0.95,0.07,0.24,0.99,0
2285,1,1,0,0.91,0.85,0.05,0.33,0.59,0.81,1,0.50,0.63,0,0.45,0.99,0.77,0.52,0.31,0.81,0.90,0.26,0.20,1
2286,1,0,0,0.82,0.96,0.35,0.47,0.73,0.62,1,0.95,0.24,0,0.86,0.94,0.21,0.81,0.61,0.17,0.87,1.00,0.64,1
2287,1,1,1,0.78,0.79,0.82,0.33,0.43,0.66,1,0.70,0.61,1,0.95,0.70,0.14,0.75,0.64,0.42,0.80,0.01,0.77,0
2288,1,1,0,0.12,0.59,0.02,0.41,0.36,0.07,0,0.56,0.35,0,0.38,0.81,0.85,0.43,0.65,0.17,0.58,0.52,0.29,1
2289,1,0,0,0.24,0.61,0.65,0.33,0.68,0.41,0,0.42,0.24,1,0.66,0.85,0.96,0.37,0.13,0.45,0.93,0.34,0.48,0
2290,1,0,1,0.92,0.80,0.14,0.41,0.44,0.23,0,0.89,0.45,0,0.30,0.90,1.00,0.78,0.47,0.61,0.41,0.18,0.99,0
2291,1,1,0,0.71,0.21,0.70,0.37,0.67,0.00,0,0.35,0.50,0,0.26,0.57,0.55,0.27,0.62,0.91,0.20,0.47,0.20,1
2292,1,1,0,0.94,0.77,0.62,0.54,0.54,0.45,1,0.27,0.45,0,0.02,0.24,0.25,0.02,0.26,0.09,0.79,0.79,0.84,1
2293,1,1,0,0.93,0.73,0.69,0.43,0.54,0.66,0,0.59,0.13,1,0.98,0.34,0.42,0.13,0.41,0.30,0.15,0.36,0.88,0
2294,1,1,1,0.43,0.18,0.22,0.47,0.69,0.01,1,0.55,0.15,0,0.61,0.70,0.14,0.19,0.18,0.07,0.83,0.62,0.30,1
2295,1,0,0,0.18,0.90,0.43,0.47,0.40,0.06,1,0.04,0.34,1,0.37,1.00,0.80,0.38,0.14,0.69,0.33,0.09,0.81,0
2296,1,0,0,0.64,0.85,0.79,0.62,0.20,0.60,1,0.05,0.33,0,0.99,0.33,0.34,0.63,0.63,0.02,0.86,0.19,0.29,0
2297,1,1,1,0.18,0.95,0.87,0.45,0.57,0.68,1,0.71,0.61,0,0.94,0.00,0.83,0.44,0.55,0.68,0.66,0.88,0.87,1
2298,1,1,0,0.67,0.94,0.14,0.20,0.74,0.34,1,0.38,0.40,1,0.39,0.33,0.28,0.44,0.30,0.91,1.00,0.59,0.71,1
2299,1,1,0,0.60,0.66,0.71,0.61,0.20,0.64,1,0.24,0.17,0,0.12,0.09,0.99,0.51,0.55,0.07,0.03,0.24,0.12,0
2300,1,1,0,0.97,0.26,0.74,0.67,0.33,0.00,1,0.05,0.10,0,0.18,0.32,0.56,0.84,0.75,0.45,0.26,0.96,0.03,1
2301,1,0,0,0.59,0.36,0.66,0.45,0.50,0.42,0,0.40,0.13,1,0.11,0.53,0.90,0.95,0.41,0.66,0.59,0.05,0.62,0
2302,1,0,0,0.08,0.13,1.00,0.65,0.56,0.78,1,0.34,0.33,0,0.22,0.20,0.79,0.30,0.45,0.76,0.55,0.26,0.26,0
2303,1,1,1,0.07,0.39,0.90,0.76,0.43,0.39,1,0.88,0.56,1,0.96,0.04,0.73,0.16,0.04,0.42,0.03,0.71,0.94,0
2304,1,1,0,0.96,0.15,0.08,0.11,0.92,0.47,0,0.22,0.41,1,0.31,0.45,0.08,0.93,0.40,0.86,0.44,0.89,0.70,1
2305,1,1,0,0.14,0.72,0.59,0.38,0.43,0.57,0,0.52,0.65,0,0.09,0.59,0.51,0.18,0.16,0.61,0.10,0.33,0.15,1
2306,1,1,0,0.55,0.24,0.86,0.45,0.43,0.58,0,0.86,0.43,0,0.85,0.59,0.21,0.15,0.35,0.32,0.67,0.07,0.12,0
2307,1,1,0,0.50,0.49,0.47,0.38,0.64,0.64,1,0.03,0.34,0,0.44,0.18,0.59,0.77,0.45,0.11,0.88,0.18,0.60,1
2308,1,1,0,0.95,0.60,0.41,0.56,0.64,0.09,1,0.35,0.48,1,0.76,0.33,0.81,0.05,0.06,0.45,0.46,0.64,0.75,1
2309,1,0,1,0.43,0.81,0.85,0.40,0.59,0.08,0,0.17,0.18,0,0.19,0.62,0.68,0.21,0.41,0.34,0.71,0.06,0.56,0
2310,1,1,0,0.78,0.76,0.70,0.33,0.34,0.20,1,0.08,0.48,0,0.66,0.10,0.47,0.34,0.62,0.22,0.46,0.04,0.53,1
2311,1,1,0,0.72,0.42,0.94,0.46,0.71,0.56,1,0.16,0.48,1,0.99,0.81,0.21,0.13,0.44,0.30,0.48,0.83,0.63,1
2312,1,1,0,0.98,0.57,0.48,0.33,0.40,0.48,0,0.37,0.65,1,0.62,0.56,0.81,1.00,0.43,0.17,0.21,0.45,0.84,1
2313,1,0,1,0.61,0.49,0.61,0.54,0.26,0.08,1,0.93,0.52,0,0.01,0.58,0.79,0.00,0.40,0.64,0.66,0.96,0.58,0
2314,1,1,0,0.26,0.03,0.92,0.66,0.21,0.13,0,0.93,0.50,1,0.12,0.95,0.82,0.81,0.73,0.67,0.23,0.28,0.68,0
2315,1,1,0,0.51,0.05,0.49,0.13,0.70,0.45,0,0.37,0.34,1,0.80,0.74,0.51,0.62,0.66,0.79,0.09,0.77,0.63,0
2316,1,1,0,0.44,0.67,0.56,0.60,0.37,0.84,0,0.65,0.61,0,0.69,0.00,0.58,0.79,0.58,0.38,0.89,0.97,0.95,0
2317,1,1,0,0.71,0.75,0.30,0.08,0.89,0.48,0,0.30,0.32,0,0.79,0.06,0.06,0.97,0.16,0.68,0.65,0.65,0.91,0
2318,1,1,0,0.67,0.11,0.06,0.23,0.85,0.24,1,0.50,0.28,0,0.83,0.47,0.88,0.85,0.48,0.28,0.10,0.85,0.83,0
2319,1,1,0,0.30,0.62,0.34,0.19,0.79,0.56,0,0.75,0.32,1,0.21,0.35,0.59,0.04,0.51,0.09,0.32,0.29,0.50,1
2320,1,1,1,0.64,0.17,0.55,0.68,0.28,0.81,1,0.32,0.41,1,0.28,0.43,0.86,0.76,0.55,0.15,0.29,0.62,0.41,1
2321,1,1,0,0.86,0.68,0.35,0.32,0.55,0.38,0,0.40,0.18,0,0.14,0.19,0.53,0.46,0.23,0.37,0.22,0.19,0.85,0
2322,1,0,0,0.20,0.43,0.14,0.34,0.35,0.13,1,0.02,0.33,1,0.76,0.63,0.51,0.27,0.58,0.14,0.47,0.90,0.79,0
2323,1,1,0,0.40,0.98,0.37,0.29,0.52,0.78,1,0.65,0.24,1,0.81,0.88,0.16,0.23,0.44,0.85,0.90,0.74,0.87,0
2324,1,1,0,0.64,0.25,0.29,0.19,0.72,0.72,0,0.33,0.06,1,0.14,0.42,0.05,0.10,0.42,0.03,0.79,0.00,0.91,1
2325,1,0,0,0.94,0.27,0.14,0.25,0.41,0.83,1,0.01,0.33,0,0.07,0.69,0.83,0.21,0.50,0.09,0.33,0.46,0.27,1
2326,1,0,0,0.76,0.30,0.45,0.31,0.47,0.87,0,0.54,0.36,0,0.24,0.24,0.80,0.56,0.32,0.57,0.96,0.51,0.97,1
2327,1,0,0,0.63,0.36,0.94,0.47,0.28,0.21,0,0.49,0.41,0,0.68,0.99,0.23,0.94,0.33,0.64,0.44,0.06,0.26,0
2328,1,1,1,0.62,0.70,0.38,0.20,0.72,0.50,0,0.04,0.32,0,0.90,0.87,0.52,0.91,0.29,0.83,0.10,0.62,0.10,1
2329,1,1,0,0.95,0.50,0.85,0.37,0.73,0.01,0,0.68,0.15,1,0.66,0.35,0.77,0.55,0.64,0.37,0.61,0.52,0.86,0
2330,1,1,0,0.68,0.60,0.00,0.04,0.90,0.91,0,0.45,0.26,1,0.71,0.19,0.72,0.49,0.48,0.83,0.48,0.88,0.01,0
2331,1,1,0,0.73,0.13,0.49,0.22,0.41,0.87,0,0.64,0.43,0,0.50,0.16,0.38,0.05,0.38,0.99,0.31,0.39,0.44,1
2332,1,1,0,0.22,0.62,0.76,0.69,0.53,0.78,0,0.53,0.11,0,0.53,0.53,0.53,0.97,0.49,0.88,0.80,0.52,0.04,0
2333,1,1,0,0.11,0.55,0.04,0.15,0.59,0.81,1,0.02,0.31,1,0.89,0.69,0.81,0.08,0.25,0.21,0.80,0.07,0.14,1
2334,1,1,1,0.95,0.26,0.50,0.57,0.45,0.65,1,0.64,0.34,1,0.73,0.89,0.26,0.97,0.72,0.03,0.55,1.00,0.21,1
2335,1,1,0,0.27,0.52,0.20,0.24,0.56,0.51,0,0.08,0.45,1,0.35,0.70,0.44,0.82,0.56,0.76,1.00,0.68,0.86,0
2336,1,1,0,0.60,0.89,0.27,0.04,0.88,0.41,0,0.47,0.25,0,0.53,0.29,0.28,0.01,0.11,0.85,0.28,0.04,0.43,0
2337,1,1,0,0.79,0.51,0.62,0.58,0.24,0.40,1,0.99,0.43,1,0.52,0.89,0.97,0.88,0.46,0.60,0.87,0.21,0.70,0
2338,1,1,0,0.46,0.79,0.16,0.40,0.75,0.51,1,0.17,0.37,1,0.10,0.82,0.70,0.32,0.08,0.25,0.72,0.49,0.88,1
2339,1,0,1,0.29,0.29,0.85,0.56,0.52,0.50,0,0.63,0.40,0,0.77,0.57,0.10,0.87,0.38,0.33,0.32,0.26,0.35,0
2340,1,0,0,0.41,0.27,0.48,0.26,0.49,0.12,1,0.58,0.21,0,0.05,0.59,0.33,0.43,0.26,0.47,0.33,0.35,0.94,1
2341,1,1,0,0.51,0.61,0.81,0.56,0.58,0.57,0,0.81,0.77,0,0.74,0.32,0.77,0.13,0.40,0.00,0.44,0.52,0.94,1
2342,1,1,0,0.87,0.96,0.93,0.65,0.66,0.03,1,0.02,0.40,1,0.61,0.24,0.76,0.86,0.19,0.13,0.53,0.47,0.79,0
2343,1,1,0,0.58,0.11,0.56,0.46,0.46,0.71,0,0.75,0.56,0,0.33,0.29,0.37,0.91,0.39,0.84,0.92,0.26,0.82,1
2344,1,1,0,0.51,0.10,0.91,0.72,0.42,0.85,0,0.53,0.16,1,0.73,0.11,0.77,0.27,0.20,0.22,0.36,0.23,0.97,0
2345,1,1,0,0.33,0.39,0.37,0.54,0.40,1.00,0,0.72,0.52,1,0.90,0.70,0.98,0.73,0.51,0.04,0.63,0.81,0.75,0
2346,1,1,0,0.08,0.62,0.04,0.41,0.60,0.69,1,0.56,0.21,0,0.63,0.92,0.75,0.65,0.41,0.63,0.38,0.75,0.94,0
2347,1,1,0,0.64,0.75,0.62,0.44,0.53,0.39,1,0.71,0.46,0,0.10,0.39,0.47,0.84,0.49,0.90,0.10,0.11,0.75,1
2348,1,1,0,0.64,0.23,0.04,0.33,0.57,0.76,0,0.16,0.09,1,0.99,0.47,0.07,0.90,0.50,0.28,0.36,0.17,0.38,1
2349,1,1,0,0.65,0.95,0.47,0.45,0.69,0.61,0,0.41,0.42,0,0.15,0.34,0.73,0.60,0.73,0.20,0.43,0.73,0.47,0
2350,1,1,0,0.34,0.96,0.89,0.37,0.77,0.43,1,0.06,0.22,1,0.01,0.78,0.81,0.70,0.09,0.78,0.14,0.65,0.15,0
2351,1,1,0,0.75,0.30,0.62,0.18,0.64,0.28,0,0.20,0.12,1,0.94,0.51,0.20,0.57,0.42,0.66,0.53,0.79,0.05,0
2352,1,1,0,0.81,0.32,0.56,0.20,0.83,0.29,1,0.03,0.26,0,0.04,0.10,0.66,0.00,0.06,0.53,0.74,0.49,0.02,1
2353,1,1,1,0.64,0.10,0.94,0.45,0.54,0.31,0,0.50,0.43,0,0.40,0.78,0.86,0.01,0.00,0.99,0.89,0.97,0.70,1
2354,1,1,0,0.15,0.72,0.29,0.29,0.50,0.57,1,0.05,0.24,1,0.43,0.18,0.03,0.34,0.22,0.60,0.83,0.20,0.85,1
2355,1,1,0,0.29,0.39,0.13,0.20,0.82,0.72,1,0.92,0.78,1,0.36,0.11,0.42,0.54,0.22,0.21,0.46,0.88,0.23,1
2356,1,0,0,0.61,0.92,0.17,0.31,0.79,0.60,0,0.34,0.29,1,0.89,0.66,0.79,0.80,0.63,0.49,0.78,0.91,0.26,0
2357,1,1,0,0.99,0.89,0.23,0.28,0.78,0.97,0,0.73,0.37,0,0.38,0.58,0.55,0.26,0.50,0.26,0.32,0.89,0.73,1
2358,1,0,0,0.69,0.29,0.86,0.39,0.42,0.50,0,0.71,0.57,1,0.73,0.01,0.06,0.97,0.36,0.61,0.61,0.93,0.19,1
2359,1,1,0,0.61,0.15,0.39,0.19,0.66,0.49,1,0.42,0.47,1,0.76,0.31,0.58,0.23,0.43,0.09,0.44,0.58,0.26,1
2360,1,1,1,0.89,0.56,0.71,0.52,0.64,0.57,1,0.56,0.12,1,0.54,0.78,0.43,0.65,0.31,0.33,0.22,0.17,0.25,0
2361,1,1,1,0.31,0.60,0.71,0.08,0.86,0.67,1,0.86,0.79,1,0.88,0.67,0.26,0.06,0.05,0.82,0.84,0.24,0.03,0
2362,1,1,0,0.58,0.06,0.93,0.40,0.39,0.13,0,0.22,0.39,0,0.96,0.97,0.72,0.62,0.11,0.18,0.39,0.09,0.79,1
2363,1,1,0,0.87,0.74,0.54,0.41,0.45,0.04,1,0.28,0.45,1,0.39,0.37,0.40,0.94,0.84,0.19,0.99,0.68,0.03,0
2364,1,1,1,0.81,0.75,0.98,0.54,0.42,0.51,1,0.96,0.46,0,0.84,0.26,0.85,0.29,0.07,0.42,0.31,0.24,0.09,0
2365,1,1,0,0.19,0.11,0.88,0.22,0.67,0.69,1,0.94,0.43,0,0.07,0.31,0.20,0.82,0.13,0.86,0.59,0.55,0.29,0
2366,1,1,0,0.64,0.09,0.67,0.22,0.77,1.00,0,0.73,0.44,1,0.97,0.35,0.89,0.58,0.72,0.63,0.19,0.15,0.01,1
2367,1,1,0,0.08,0.40,0.47,0.29,0.80,0.62,1,0.43,0.49,1,0.05,0.44,0.50,0.45,0.40,0.28,0.21,0.02,0.27,1
2368,1,1,1,0.13,0.60,0.58,0.32,0.73,0.69,1,0.83,0.69,1,0.56,0.46,0.06,0.02,0.45,0.91,0.80,0.40,0.74,0
2369,1,1,0,0.70,0.54,0.46,0.54,0.49,0.59,0,0.99,0.46,1,0.07,0.53,0.68,0.61,0.11,0.12,0.76,0.73,0.51,1
2370,1,1,0,0.70,0.68,0.43,0.40,0.69,0.87,0,0.34,0.18,0,0.94,0.83,0.18,0.66,0.32,0.54,0.57,0.73,0.11,0
2371,1,1,0,0.77,0.31,0.34,0.53,0.60,0.10,1,0.92,0.86,0,1.00,0.59,0.39,0.32,0.33,0.92,0.23,0.05,0.72,1
2372,1,1,0,0.68,0.12,0.93,0.58,0.47,0.37,0,0.41,0.39,0,0.48,0.39,0.52,0.11,0.18,0.37,0.41,0.33,0.34,0
2373,1,0,0,0.73,0.35,0.17,0.26,0.44,0.56,0,0.60,0.68,0,0.21,0.07,0.69,0.45,0.49,0.09,0.99,0.25,0.93,1
2374,1,1,1,0.69,0.82,0.79,0.03,0.93,0.88,1,0.44,0.61,0,0.27,0.90,0.99,0.96,0.61,0.62,0.22,0.54,0.14,0
2375,1,0,0,0.78,0.56,0.62,0.05,0.63,0.23,0,0.57,0.42,0,0.98,0.68,0.83,0.59,0.54,0.85,0.36,0.77,0.20,0
2376,1,1,1,0.71,0.33,0.68,0.24,0.55,0.48,1,0.79,0.42,0,0.55,0.20,0.34,0.09,0.25,0.13,0.87,0.99,0.61,1
2377,1,0,0,0.92,0.92,0.90,0.51,0.73,0.53,0,0.10,0.31,1,0.61,0.95,0.75,0.33,0.23,0.14,0.18,0.68,0.55,0
2378,1,1,0,0.70,0.08,0.87,0.33,0.38,0.49,0,0.48,0.21,0,0.76,0.44,0.56,0.32,0.59,0.59,0.95,0.25,0.32,1
2379,1,0,0,0.89,0.54,0.71,0.44,0.35,0.93,1,0.38,0.54,0,0.51,0.95,0.17,0.19,0.33,0.36,0.67,0.19,0.66,1
2380,1,1,0,0.13,0.41,0.89,0.46,0.34,0.68,0,0.45,0.42,0,0.75,0.15,0.67,0.76,0.53,0.43,1.00,0.31,0.51,1
2381,1,1,0,0.74,0.33,0.68,0.13,0.73,0.95,1,0.79,0.19,0,0.71,0.45,0.44,0.47,0.58,0.19,0.29,0.23,0.98,0
2382,1,1,0,0.25,0.53,0.79,0.44,0.42,0.10,1,0.17,0.11,1,0.99,0.66,0.83,0.12,0.14,0.73,0.14,0.97,0.54,0
2383,1,1,0,0.62,0.55,0.33,0.32,0.69,0.70,0,0.71,0.55,1,0.84,0.70,1.00,0.80,0.80,0.12,0.65,0.27,0.53,1
2384,1,1,0,0.62,0.73,0.40,0.35,0.42,0.34,0,0.69,0.39,0,0.73,0.89,0.87,0.00,0.06,0.25,0.65,0.95,0.76,1
2385,1,1,0,0.07,0.72,0.09,0.32,0.61,0.45,0,0.17,0.36,1,0.21,0.95,0.58,0.09,0.30,0.83,0.32,0.32,0.95,0
2386,1,0,0,0.21,1.00,0.98,0.71,0.42,0.30,0,0.01,0.19,0,0.96,0.09,0.82,0.16,0.17,0.46,0.49,0.11,0.51,0
2387,1,1,0,0.00,0.60,0.79,0.48,0.47,0.84,0,0.89,0.56,1,0.51,0.05,0.17,0.44,0.15,0.52,0.88,0.96,0.83,1
2388,1,1,0,0.49,0.64,0.32,0.13,0.89,0.22,0,0.79,0.54,1,0.11,0.76,0.67,0.52,0.12,0.59,0.73,0.81,0.85,1
2389,1,1,0,0.61,0.18,0.31,0.46,0.54,0.65,1,0.03,0.39,1,0.53,0.95,0.17,0.91,0.61,0.59,0.16,0.54,0.06,0
2390,1,1,0,0.70,0.10,0.61,0.32,0.69,0.37,0,0.42,0.27,0,0.94,0.65,0.25,0.64,0.33,0.14,0.45,0.02,0.54,1
